 	    0.00 	   59.78 	   57.75 
 	    1.00 	   69.80 	   67.97 
 	    2.00 	   76.03 	   73.00 
 	    3.00 	   81.14 	   74.29 
 	    4.00 	   72.68 	   68.63 
 	    5.00 	   63.71 	   58.85 
 	    6.00 	   53.56 	   53.15 
 	    7.00 	   70.68 	   62.45 
 	    8.00 	   68.47 	   62.37 
 	    9.00 	   57.63 	   55.30 
 	   10.00 	   41.90 	   50.46 
 	   11.00 	   63.95 	   64.31 
 	   12.00 	   71.87 	   70.75 
 	   13.00 	   62.58 	   68.49 
 	   14.00 	   59.25 	   65.59 
 	   15.00 	   53.03 	   53.63 
 	   16.00 	   46.93 	   48.40 
 	   17.00 	   56.75 	   52.95 
 	   18.00 	   50.12 	   51.19 
 	   19.00 	   61.33 	   57.57 
 	   20.00 	   74.87 	   68.64 
 	   21.00 	   72.54 	   69.32 
 	   22.00 	   78.65 	   71.93 
 	   23.00 	   63.61 	   64.56 
 	   24.00 	   50.66 	   52.85 
 	   25.00 	   36.98 	   42.88 
 	   26.00 	   33.23 	   41.12 
 	   27.00 	   31.01 	   39.45 
 	   28.00 	   35.25 	   40.67 
 	   29.00 	   38.94 	   43.41 
 	   30.00 	   38.32 	   43.93 
 	   31.00 	   37.11 	   44.19 
 	   32.00 	   37.11 	   44.19 
 	   33.00 	   36.55 	   43.58 
 	   34.00 	   36.24 	   43.45 
 	   35.00 	   35.37 	   42.50 
 	   36.00 	   34.72 	   41.87 
 	   37.00 	   33.74 	   40.94 
 	   38.00 	   32.31 	   39.59 
 	   39.00 	   31.63 	   38.71 
 	   40.00 	   30.22 	   37.16 
 	   41.00 	   28.85 	   35.76 
 	   42.00 	   28.08 	   35.02 
 	   43.00 	   27.25 	   33.99 
 	   44.00 	   27.19 	   33.49 
 	   45.00 	   27.35 	   32.82 
 	   46.00 	   28.55 	   34.26 
 	   47.00 	   29.02 	   34.23 
 	   48.00 	   29.92 	   34.41 
 	   49.00 	   30.38 	   34.57 
 	   50.00 	   30.74 	   34.30 
 	   51.00 	   31.56 	   34.78 
 	   52.00 	   31.92 	   35.10 
 	   53.00 	   32.50 	   36.00 
 	   54.00 	   32.85 	   36.33 
 	   55.00 	   33.17 	   36.97 
 	   56.00 	   33.87 	   38.16 
 	   57.00 	   34.40 	   38.97 
 	   58.00 	   35.89 	   41.02 
 	   59.00 	   37.93 	   43.66 
 	   60.00 	   38.96 	   44.88 
 	   61.00 	   41.79 	   47.35 
 	   62.00 	   43.27 	   48.83 
 	   63.00 	   46.44 	   52.78 
