 	    0.00 	   62.74 	   51.44 
 	    1.00 	   66.89 	   52.06 
 	    2.00 	   65.85 	   52.83 
 	    3.00 	   63.80 	   53.39 
 	    4.00 	   59.80 	   46.88 
 	    5.00 	   47.86 	   42.27 
 	    6.00 	   35.79 	   43.31 
 	    7.00 	   34.86 	   46.26 
 	    8.00 	   39.28 	   49.72 
 	    9.00 	   41.68 	   51.52 
 	   10.00 	   38.57 	   50.61 
 	   11.00 	   36.85 	   49.67 
 	   12.00 	   52.76 	   54.63 
 	   13.00 	   62.29 	   60.12 
 	   14.00 	   67.65 	   63.71 
 	   15.00 	   65.05 	   62.86 
 	   16.00 	   61.34 	   59.33 
 	   17.00 	   51.09 	   51.87 
 	   18.00 	   36.76 	   46.31 
 	   19.00 	   31.69 	   43.85 
 	   20.00 	   35.51 	   43.72 
 	   21.00 	   36.97 	   44.44 
 	   22.00 	   34.78 	   44.55 
 	   23.00 	   30.65 	   43.90 
 	   24.00 	   28.73 	   44.77 
 	   25.00 	   29.41 	   44.62 
 	   26.00 	   33.22 	   47.21 
 	   27.00 	   35.21 	   48.87 
 	   28.00 	   35.10 	   49.60 
 	   29.00 	   32.20 	   48.45 
 	   30.00 	   25.22 	   42.54 
 	   31.00 	   21.99 	   40.94 
 	   32.00 	   21.99 	   40.94 
 	   33.00 	   21.02 	   40.32 
 	   34.00 	   19.90 	   39.48 
 	   35.00 	   19.42 	   39.18 
 	   36.00 	   19.06 	   38.84 
 	   37.00 	   18.80 	   38.28 
 	   38.00 	   18.79 	   38.10 
 	   39.00 	   18.78 	   37.72 
 	   40.00 	   18.99 	   37.61 
 	   41.00 	   19.34 	   38.27 
 	   42.00 	   19.81 	   38.83 
 	   43.00 	   20.69 	   39.16 
 	   44.00 	   21.89 	   40.24 
 	   45.00 	   22.99 	   40.35 
 	   46.00 	   25.62 	   42.10 
 	   47.00 	   27.75 	   43.47 
 	   48.00 	   30.78 	   45.73 
 	   49.00 	   33.74 	   47.68 
 	   50.00 	   37.27 	   49.98 
 	   51.00 	   39.59 	   51.52 
 	   52.00 	   50.02 	   57.41 
 	   53.00 	   55.59 	   60.26 
 	   54.00 	   59.03 	   61.87 
 	   55.00 	   53.67 	   60.23 
 	   56.00 	   68.41 	   66.01 
 	   57.00 	   68.55 	   66.32 
 	   58.00 	   69.19 	   66.65 
 	   59.00 	   71.88 	   67.58 
 	   60.00 	   75.81 	   67.51 
 	   61.00 	   72.54 	   65.83 
 	   62.00 	   70.88 	   64.03 
 	   63.00 	   66.33 	   60.89 
