 	    0.00 	   72.70 	   62.82 
 	    1.00 	   71.23 	   60.83 
 	    2.00 	   79.14 	   73.36 
 	    3.00 	   78.01 	   74.58 
 	    4.00 	   79.92 	   72.56 
 	    5.00 	   78.25 	   75.73 
 	    6.00 	   80.12 	   76.53 
 	    7.00 	   78.40 	   74.37 
 	    8.00 	   89.31 	   86.39 
 	    9.00 	   85.58 	   80.30 
 	   10.00 	   84.11 	   65.87 
 	   11.00 	   78.93 	   63.32 
 	   12.00 	    0.00 	    0.00 
 	   13.00 	   84.59 	   64.15 
 	   14.00 	   84.57 	   77.50 
 	   15.00 	   80.81 	   66.27 
 	   16.00 	   70.34 	   53.82 
 	   17.00 	   65.84 	   51.41 
 	   18.00 	   69.52 	   56.13 
 	   19.00 	   72.66 	   62.87 
 	   20.00 	   69.26 	   56.28 
 	   21.00 	   62.19 	   50.76 
 	   22.00 	   52.97 	   49.23 
 	   23.00 	   43.29 	   49.19 
 	   24.00 	   38.70 	   48.89 
 	   25.00 	   38.80 	   46.79 
 	   26.00 	   40.83 	   47.41 
 	   27.00 	   37.30 	   46.26 
 	   28.00 	   31.35 	   46.36 
 	   29.00 	   27.61 	   42.65 
 	   30.00 	   28.79 	   42.88 
 	   31.00 	   29.98 	   42.34 
 	   32.00 	   29.98 	   42.34 
 	   33.00 	   30.78 	   42.36 
 	   34.00 	   33.23 	   43.38 
 	   35.00 	   30.17 	   40.92 
 	   36.00 	   31.46 	   40.84 
 	   37.00 	   31.42 	   39.81 
 	   38.00 	   31.39 	   38.88 
 	   39.00 	   32.97 	   41.59 
 	   40.00 	   31.05 	   38.53 
 	   41.00 	   31.65 	   40.96 
 	   42.00 	   30.05 	   38.51 
 	   43.00 	   30.69 	   40.71 
 	   44.00 	   30.62 	   40.66 
 	   45.00 	   31.55 	   41.28 
 	   46.00 	   33.23 	   41.97 
 	   47.00 	   34.79 	   42.49 
 	   48.00 	   37.18 	   43.41 
 	   49.00 	   39.35 	   44.54 
 	   50.00 	   42.44 	   45.90 
 	   51.00 	   42.97 	   45.50 
 	   52.00 	   46.78 	   48.49 
 	   53.00 	   50.55 	   50.28 
 	   54.00 	   53.15 	   49.66 
 	   55.00 	   57.15 	   52.05 
 	   56.00 	   61.72 	   54.27 
 	   57.00 	   68.68 	   58.62 
 	   58.00 	   74.13 	   61.82 
 	   59.00 	   78.52 	   63.46 
 	   60.00 	    0.00 	    0.00 
 	   61.00 	   97.96 	   66.88 
 	   62.00 	    0.00 	    0.00 
 	   63.00 	   76.75 	   67.20 
